default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_employment_since,installment_as_income_perc,sex,personal_status,other_debtors,present_residence_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
Not default,< 0 DM,6,critical account/ other credits existing (not at this bank),domestic appliances,1169.0,unknown/ no savings account,.. >= 7 years,4,male,single,none,4,real estate,67,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,5951.0,... < 100 DM,1 <= ... < 4 years,2,female,divorced,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes
Not default,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),2096.0,... < 100 DM,4 <= ... < 7 years,2,male,single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes
Not default,< 0 DM,42,existing credits paid back duly till now,radio/television,7882.0,... < 100 DM,4 <= ... < 7 years,2,male,single,guarantor,4,if not A121 : building society savings agreement/ life insurance,45,none,for free,1,skilled employee / official,2,none,yes
Default,< 0 DM,24,delay in paying off in the past,car (new),4870.0,... < 100 DM,1 <= ... < 4 years,3,male,single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes
Not default,no checking account,36,existing credits paid back duly till now,(vacation - does not exist?),9055.0,unknown/ no savings account,1 <= ... < 4 years,2,male,single,none,4,unknown / no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes
Not default,no checking account,24,existing credits paid back duly till now,radio/television,2835.0,500 <= ... < 1000 DM,.. >= 7 years,3,male,single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes
Not default,0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948.0,... < 100 DM,1 <= ... < 4 years,2,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Not default,no checking account,12,existing credits paid back duly till now,domestic appliances,3059.0,.. >= 1000 DM,4 <= ... < 7 years,2,male,divorced,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes
Default,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234.0,... < 100 DM,unemployed,4,male,married,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes
Default,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295.0,... < 100 DM,... < 1 year,3,female,divorced,none,1,"if not A121/A122 : car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes
Default,< 0 DM,48,existing credits paid back duly till now,business,4308.0,... < 100 DM,... < 1 year,3,female,divorced,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes
Not default,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1567.0,... < 100 DM,1 <= ... < 4 years,1,female,divorced,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,< 0 DM,24,critical account/ other credits existing (not at this bank),car (new),1199.0,... < 100 DM,.. >= 7 years,4,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes
Not default,< 0 DM,15,existing credits paid back duly till now,car (new),1403.0,... < 100 DM,1 <= ... < 4 years,2,female,divorced,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes
Default,< 0 DM,24,existing credits paid back duly till now,domestic appliances,1282.0,100 <= ... < 500 DM,1 <= ... < 4 years,4,female,divorced,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes
Not default,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2424.0,unknown/ no savings account,.. >= 7 years,4,male,single,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,2,skilled employee / official,1,none,yes
Not default,< 0 DM,30,no credits taken/ all credits paid back duly,business,8072.0,unknown/ no savings account,... < 1 year,2,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,yes
Default,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579.0,... < 100 DM,.. >= 7 years,4,female,divorced,none,2,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
