default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_employment_since,installment_as_income_perc,sex,personal_status,other_debtors,present_residence_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
Default,< 0 DM,12,all credits at this bank paid back duly,domestic appliances,950.3897170475911,... < 100 DM,1 <= ... < 4 years,4.0,male,divorced,none,1,unknown / no property,29.0,none,for free,1,skilled employee / official,1,none,yes
Not default,no checking account,48,all credits at this bank paid back duly,business,4935.342102717434,... < 100 DM,1 <= ... < 4 years,1.0,female,divorced,none,1,real estate,27.0,stores,own,1,skilled employee / official,1,none,yes
Not default,0 <= ... < 200 DM,36,all credits at this bank paid back duly,repairs,3990.0,unknown/ no savings account,... < 1 year,3.0,female,divorced,none,2,unknown / no property,29.0,bank,own,1,unemployed/ unskilled - non-resident,1,none,yes
Not default,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),6297.896947806068,unknown/ no savings account,unemployed,4.0,male,single,co-applicant,4,unknown / no property,36.0,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,-24,all credits at this bank paid back duly,business,3161.0,... < 100 DM,1 <= ... < 4 years,4.0,male,single,none,2,if not A121 : building society savings agreement/ life insurance,31.0,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
Not default,0 <= ... < 200 DM,72,all credits at this bank paid back duly,repairs,3990.0,unknown/ no savings account,... < 1 year,3.0,female,divorced,none,2,unknown / no property,29.0,bank,own,1,unemployed/ unskilled - non-resident,1,none,yes
Not default,no checking account,48,all credits at this bank paid back duly,business,3609.0,... < 100 DM,1 <= ... < 4 years,1.2147139165025982,female,divorced,none,1,real estate,27.0,stores,own,1,skilled employee / official,1,none,yes
Default,< 0 DM,72,all credits at this bank paid back duly,radio/television,6872.0,... < 100 DM,... < 1 year,2.0,male,divorced,none,1,if not A121 : building society savings agreement/ life insurance,55.0,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,>= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,business,767.5787796190992,... < 100 DM,... < 1 year,4.0,female,divorced,none,1,real estate,26.0,none,own,1,unemployed/ unskilled - non-resident,1,none,yes
Default,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (new),1437.0,100 <= ... < 500 DM,4 <= ... < 7 years,2.0,male,single,none,3,unknown / no property,-58.0,none,own,1,skilled employee / official,1,none,yes
Default,< 0 DM,12,all credits at this bank paid back duly,domestic appliances,2149.0,... < 100 DM,1 <= ... < 4 years,4.0,male,divorced,none,1,unknown / no property,29.0,none,for free,1,skilled employee / official,1,none,yes
Not default,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169.0,unknown/ no savings account,unemployed,2.5380132869947483,male,single,co-applicant,4,unknown / no property,36.0,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,no checking account,-90,all credits at this bank paid back duly,car (used),7485.0,unknown/ no savings account,unemployed,4.0,female,divorced,none,1,real estate,53.0,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,0,all credits at this bank paid back duly,furniture/equipment,1358.0,unknown/ no savings account,.. >= 7 years,4.0,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",40.0,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,6416.0,... < 100 DM,.. >= 7 years,4.0,female,divorced,none,3,unknown / no property,-59.0,none,rent,1,skilled employee / official,1,none,yes
Default,< 0 DM,48,all credits at this bank paid back duly,business,3161.0,... < 100 DM,1 <= ... < 4 years,4.0,male,single,none,2,if not A121 : building society savings agreement/ life insurance,31.0,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,< 0 DM,18,all credits at this bank paid back duly,radio/television,1051.3402442515323,... < 100 DM,1 <= ... < 4 years,4.0,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",44.0,bank,own,1,skilled employee / official,1,none,yes
Not default,< 0 DM,24,all credits at this bank paid back duly,car (used),3632.0,... < 100 DM,1 <= ... < 4 years,1.9519949740885023,female,divorced,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",22.0,bank,rent,1,skilled employee / official,1,none,no
Default,0 <= ... < 200 DM,6,all credits at this bank paid back duly,(vacation - does not exist?),1323.1121796145117,.. >= 1000 DM,... < 1 year,4.0,female,divorced,none,2,if not A121 : building society savings agreement/ life insurance,24.0,bank,rent,1,skilled employee / official,2,none,yes
Not default,< 0 DM,24,all credits at this bank paid back duly,car (new),2325.0,100 <= ... < 500 DM,4 <= ... < 7 years,0.27602393620985555,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",32.0,bank,own,1,skilled employee / official,1,none,yes
Default,0 <= ... < 200 DM,-9,all credits at this bank paid back duly,car (new),1437.0,100 <= ... < 500 DM,4 <= ... < 7 years,2.0,male,single,none,3,unknown / no property,29.0,none,own,1,skilled employee / official,1,none,yes
Default,>= 200 DM / salary assignments for at least 1 year,-24,all credits at this bank paid back duly,business,609.0,... < 100 DM,... < 1 year,4.0,female,divorced,none,1,real estate,26.0,none,own,1,unemployed/ unskilled - non-resident,1,none,yes
Not default,< 0 DM,18,all credits at this bank paid back duly,domestic appliances,1940.0,... < 100 DM,... < 1 year,-0.9229556429646145,male,single,co-applicant,4,unknown / no property,36.0,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,24,all credits at this bank paid back duly,domestic appliances,2052.392280090279,... < 100 DM,4 <= ... < 7 years,4.0,male,single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",24.0,bank,rent,1,unskilled - resident,1,none,yes
Not default,>= 200 DM / salary assignments for at least 1 year,-12,all credits at this bank paid back duly,domestic appliances,409.0,.. >= 1000 DM,1 <= ... < 4 years,3.0,female,divorced,none,3,real estate,42.0,none,rent,2,skilled employee / official,1,none,yes
Default,< 0 DM,24,all credits at this bank paid back duly,radio/television,3349.0,500 <= ... < 1000 DM,... < 1 year,8.245462065722611,male,single,none,4,unknown / no property,30.0,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
Default,< 0 DM,48,all credits at this bank paid back duly,business,7685.0,... < 100 DM,4 <= ... < 7 years,2.0,female,divorced,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",-74.0,none,rent,1,skilled employee / official,1,none,yes
Not default,< 0 DM,24,all credits at this bank paid back duly,car (used),-4211.263462666573,... < 100 DM,1 <= ... < 4 years,1.0,female,divorced,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",22.0,bank,rent,1,skilled employee / official,1,none,no
Not default,>= 200 DM / salary assignments for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,776.5748248489152,unknown/ no savings account,4 <= ... < 7 years,4.0,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",49.0,bank,own,1,unskilled - resident,1,none,yes
Not default,< 0 DM,12,all credits at this bank paid back duly,retraining,339.0,... < 100 DM,.. >= 7 years,4.0,male,married,none,1,"if not A121/A122 : car or other, not in attribute 6",-90.0,bank,own,1,unskilled - resident,1,none,yes
Default,< 0 DM,12,all credits at this bank paid back duly,car (new),697.0,... < 100 DM,... < 1 year,-4.9064783122773505,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",46.0,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
Default,< 0 DM,24,all credits at this bank paid back duly,business,3161.0,... < 100 DM,1 <= ... < 4 years,4.0,male,single,none,2,if not A121 : building society savings agreement/ life insurance,0.0,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
Not default,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),16839.375811712205,unknown/ no savings account,unemployed,4.0,male,single,co-applicant,4,unknown / no property,36.0,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,-42,all credits at this bank paid back duly,car (new),1647.0,unknown/ no savings account,1 <= ... < 4 years,4.0,male,single,none,2,if not A121 : building society savings agreement/ life insurance,40.0,none,own,2,unskilled - resident,2,none,yes
Default,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,9358.195287498753,... < 100 DM,.. >= 7 years,4.0,female,divorced,none,3,unknown / no property,59.0,none,rent,1,skilled employee / official,1,none,yes
Default,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),6850.0,100 <= ... < 500 DM,unemployed,1.0,male,single,none,2,if not A121 : building society savings agreement/ life insurance,-68.0,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,60,all credits at this bank paid back duly,furniture/equipment,14782.0,100 <= ... < 500 DM,.. >= 7 years,3.0,female,divorced,none,4,unknown / no property,0.0,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,24,all credits at this bank paid back duly,business,3161.0,... < 100 DM,1 <= ... < 4 years,2.341042020931757,male,single,none,2,if not A121 : building society savings agreement/ life insurance,31.0,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129.0,... < 100 DM,.. >= 7 years,2.0,female,divorced,none,4,unknown / no property,74.0,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
Not default,no checking account,28,all credits at this bank paid back duly,car (used),7824.0,unknown/ no savings account,... < 1 year,3.0,male,single,guarantor,4,real estate,40.0,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes
Default,< 0 DM,6,all credits at this bank paid back duly,(vacation - does not exist?),1198.0,... < 100 DM,.. >= 7 years,-0.5147301652016592,female,divorced,none,4,unknown / no property,35.0,none,for free,1,skilled employee / official,1,none,yes
Not default,< 0 DM,-36,all credits at this bank paid back duly,retraining,339.0,... < 100 DM,.. >= 7 years,4.0,male,married,none,1,"if not A121/A122 : car or other, not in attribute 6",45.0,bank,own,1,unskilled - resident,1,none,yes
Not default,< 0 DM,-48,all credits at this bank paid back duly,car (used),3632.0,... < 100 DM,1 <= ... < 4 years,1.0,female,divorced,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",22.0,bank,rent,1,skilled employee / official,1,none,no
Not default,< 0 DM,-48,all credits at this bank paid back duly,car (used),3632.0,... < 100 DM,1 <= ... < 4 years,1.0,female,divorced,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",22.0,bank,rent,1,skilled employee / official,1,none,no
Default,0 <= ... < 200 DM,6,all credits at this bank paid back duly,(vacation - does not exist?),433.0,.. >= 1000 DM,... < 1 year,4.0,female,divorced,none,2,if not A121 : building society savings agreement/ life insurance,24.0,bank,rent,1,skilled employee / official,2,none,yes
Default,0 <= ... < 200 DM,6,all credits at this bank paid back duly,(vacation - does not exist?),433.0,.. >= 1000 DM,... < 1 year,2.1811156104132943,female,divorced,none,2,if not A121 : building society savings agreement/ life insurance,24.0,bank,rent,1,skilled employee / official,2,none,yes
Not default,no checking account,15,all credits at this bank paid back duly,domestic appliances,1569.0,100 <= ... < 500 DM,.. >= 7 years,4.0,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",0.0,bank,own,1,unskilled - resident,2,none,yes
Default,< 0 DM,6,all credits at this bank paid back duly,(vacation - does not exist?),1198.0,... < 100 DM,.. >= 7 years,4.0,female,divorced,none,4,unknown / no property,-70.0,none,for free,1,skilled employee / official,1,none,yes
Default,0 <= ... < 200 DM,-6,all credits at this bank paid back duly,car (new),931.0,100 <= ... < 500 DM,... < 1 year,1.0,female,divorced,none,1,if not A121 : building society savings agreement/ life insurance,32.0,stores,own,1,unskilled - resident,1,none,yes
Default,0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931.0,100 <= ... < 500 DM,... < 1 year,1.0,female,divorced,none,1,if not A121 : building society savings agreement/ life insurance,64.0,stores,own,1,unskilled - resident,1,none,yes
Default,< 0 DM,-48,all credits at this bank paid back duly,car (new),1193.0,... < 100 DM,unemployed,1.0,female,divorced,co-applicant,4,unknown / no property,29.0,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes
Default,< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,1358.0,unknown/ no savings account,.. >= 7 years,6.038586152925811,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",40.0,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Not default,no checking account,24,all credits at this bank paid back duly,business,1559.0,... < 100 DM,4 <= ... < 7 years,2.553000227963804,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",50.0,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,< 0 DM,-72,all credits at this bank paid back duly,radio/television,3552.0,... < 100 DM,4 <= ... < 7 years,3.0,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",27.0,bank,own,1,skilled employee / official,1,none,yes
Default,0 <= ... < 200 DM,24,all credits at this bank paid back duly,(vacation - does not exist?),1837.0,... < 100 DM,4 <= ... < 7 years,-1.2411858234356035,female,divorced,none,4,unknown / no property,34.0,bank,for free,1,unskilled - resident,1,none,yes
Default,< 0 DM,-54,all credits at this bank paid back duly,car (new),1442.0,... < 100 DM,4 <= ... < 7 years,4.0,male,single,none,4,unknown / no property,32.0,none,for free,2,unskilled - resident,2,none,yes
Default,0 <= ... < 200 DM,24,all credits at this bank paid back duly,(vacation - does not exist?),4374.416967396061,... < 100 DM,4 <= ... < 7 years,4.0,female,divorced,none,4,unknown / no property,34.0,bank,for free,1,unskilled - resident,1,none,yes
Default,< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,1358.0,unknown/ no savings account,.. >= 7 years,4.0,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",0.0,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,6,all credits at this bank paid back duly,(vacation - does not exist?),1198.0,... < 100 DM,.. >= 7 years,4.0,female,divorced,none,4,unknown / no property,35.0,none,for free,1,skilled employee / official,1,none,yes
Not default,no checking account,6,all credits at this bank paid back duly,car (new),783.0,unknown/ no savings account,1 <= ... < 4 years,1.0,male,single,guarantor,2,real estate,-52.0,stores,own,1,unskilled - resident,2,none,yes
Not default,< 0 DM,24,all credits at this bank paid back duly,radio/television,2828.0,500 <= ... < 1000 DM,1 <= ... < 4 years,4.0,male,single,none,4,real estate,-44.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,< 0 DM,24,all credits at this bank paid back duly,radio/television,-4933.662469400385,... < 100 DM,... < 1 year,2.0,male,divorced,none,1,if not A121 : building society savings agreement/ life insurance,55.0,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Not default,< 0 DM,12,all credits at this bank paid back duly,retraining,288.31446896612164,... < 100 DM,.. >= 7 years,4.0,male,married,none,1,"if not A121/A122 : car or other, not in attribute 6",45.0,bank,own,1,unskilled - resident,1,none,yes
Default,< 0 DM,-54,all credits at this bank paid back duly,radio/television,1553.0,... < 100 DM,1 <= ... < 4 years,4.0,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",44.0,bank,own,1,skilled employee / official,1,none,yes
Not default,no checking account,6,all credits at this bank paid back duly,car (new),783.0,unknown/ no savings account,1 <= ... < 4 years,1.0,male,single,guarantor,2,real estate,-26.0,stores,own,1,unskilled - resident,2,none,yes
Default,0 <= ... < 200 DM,-12,all credits at this bank paid back duly,(vacation - does not exist?),433.0,.. >= 1000 DM,... < 1 year,4.0,female,divorced,none,2,if not A121 : building society savings agreement/ life insurance,24.0,bank,rent,1,skilled employee / official,2,none,yes
Not default,no checking account,6,all credits at this bank paid back duly,car (new),783.0,unknown/ no savings account,1 <= ... < 4 years,1.3511482284743073,male,single,guarantor,2,real estate,26.0,stores,own,1,unskilled - resident,2,none,yes
Default,< 0 DM,12,all credits at this bank paid back duly,domestic appliances,1226.2634660092801,... < 100 DM,1 <= ... < 4 years,4.0,female,divorced,none,4,real estate,24.0,bank,own,1,unskilled - resident,1,none,yes
Default,< 0 DM,24,all credits at this bank paid back duly,radio/television,6872.0,... < 100 DM,... < 1 year,-0.5415329946959331,male,divorced,none,1,if not A121 : building society savings agreement/ life insurance,55.0,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,18,all credits at this bank paid back duly,car (new),931.0,100 <= ... < 500 DM,... < 1 year,1.0,female,divorced,none,1,if not A121 : building society savings agreement/ life insurance,32.0,stores,own,1,unskilled - resident,1,none,yes
Default,< 0 DM,24,all credits at this bank paid back duly,domestic appliances,1546.0,... < 100 DM,4 <= ... < 7 years,-0.952191838349354,male,single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",24.0,bank,rent,1,unskilled - resident,1,none,yes
Not default,< 0 DM,18,all credits at this bank paid back duly,domestic appliances,1940.0,... < 100 DM,... < 1 year,3.0,male,single,co-applicant,4,unknown / no property,-72.0,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,no checking account,60,all credits at this bank paid back duly,car (used),7485.0,unknown/ no savings account,unemployed,4.0,female,divorced,none,1,real estate,53.0,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,72,all credits at this bank paid back duly,radio/television,3349.0,500 <= ... < 1000 DM,... < 1 year,4.0,male,single,none,4,unknown / no property,30.0,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
Not default,0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283.0,... < 100 DM,unemployed,0.30153721676549194,male,single,none,2,unknown / no property,55.0,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,< 0 DM,24,all credits at this bank paid back duly,car (new),589.1316455647218,... < 100 DM,unemployed,1.0,female,divorced,co-applicant,4,unknown / no property,29.0,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes
Default,< 0 DM,18,all credits at this bank paid back duly,radio/television,4401.69347994432,... < 100 DM,1 <= ... < 4 years,4.0,male,single,none,3,"if not A121/A122 : car or other, not in attribute 6",44.0,bank,own,1,skilled employee / official,1,none,yes
Not default,no checking account,6,all credits at this bank paid back duly,domestic appliances,1750.0,500 <= ... < 1000 DM,.. >= 7 years,-3.717019869432221,male,single,none,4,if not A121 : building society savings agreement/ life insurance,45.0,bank,own,1,unskilled - resident,2,none,yes
Not default,< 0 DM,24,all credits at this bank paid back duly,car (used),3632.0,... < 100 DM,1 <= ... < 4 years,1.0,female,divorced,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",-22.0,bank,rent,1,skilled employee / official,1,none,no
Not default,no checking account,24,all credits at this bank paid back duly,business,2827.032050603649,... < 100 DM,4 <= ... < 7 years,4.0,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",50.0,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Not default,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566.0,100 <= ... < 500 DM,4 <= ... < 7 years,4.0,male,single,none,2,"if not A121/A122 : car or other, not in attribute 6",30.0,none,own,1,skilled employee / official,1,none,yes
Not default,no checking account,-12,all credits at this bank paid back duly,domestic appliances,1750.0,500 <= ... < 1000 DM,.. >= 7 years,2.0,male,single,none,4,if not A121 : building society savings agreement/ life insurance,45.0,bank,own,1,unskilled - resident,2,none,yes
Default,no checking account,18,all credits at this bank paid back duly,car (new),10076.551236997628,... < 100 DM,.. >= 7 years,2.0,male,single,none,4,unknown / no property,39.0,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
Not default,0 <= ... < 200 DM,36,all credits at this bank paid back duly,repairs,7229.399715865342,unknown/ no savings account,... < 1 year,3.0,female,divorced,none,2,unknown / no property,0.1578947368421052,bank,own,1,unemployed/ unskilled - non-resident,1,none,yes
Default,0 <= ... < 200 DM,24,all credits at this bank paid back duly,(vacation - does not exist?),2884.937647488493,... < 100 DM,4 <= ... < 7 years,4.0,female,divorced,none,4,unknown / no property,34.0,bank,for free,1,unskilled - resident,1,none,yes
Default,< 0 DM,-108,all credits at this bank paid back duly,radio/television,2746.0,... < 100 DM,.. >= 7 years,4.0,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",31.0,bank,own,1,skilled employee / official,1,none,yes
Not default,no checking account,15,all credits at this bank paid back duly,domestic appliances,1571.0791461420579,100 <= ... < 500 DM,.. >= 7 years,4.0,male,single,none,4,"if not A121/A122 : car or other, not in attribute 6",34.0,bank,own,1,unskilled - resident,2,none,yes
Not default,no checking account,6,all credits at this bank paid back duly,car (new),783.0,unknown/ no savings account,1 <= ... < 4 years,2.1240469013587226,male,single,guarantor,2,real estate,26.0,stores,own,1,unskilled - resident,2,none,yes
Not default,no checking account,12,all credits at this bank paid back duly,retraining,3447.0,500 <= ... < 1000 DM,1 <= ... < 4 years,4.0,female,divorced,none,3,real estate,-35.0,none,own,1,unskilled - resident,2,none,yes
Default,< 0 DM,0,all credits at this bank paid back duly,car (new),1442.0,... < 100 DM,4 <= ... < 7 years,4.0,male,single,none,4,unknown / no property,32.0,none,for free,2,unskilled - resident,2,none,yes
Not default,0 <= ... < 200 DM,36,all credits at this bank paid back duly,repairs,8835.463683359938,unknown/ no savings account,... < 1 year,3.0,female,divorced,none,2,unknown / no property,29.0,bank,own,1,unemployed/ unskilled - non-resident,1,none,yes
Not default,0 <= ... < 200 DM,10,all credits at this bank paid back duly,domestic appliances,1048.0,... < 100 DM,1 <= ... < 4 years,7.476143125440167,male,single,none,4,real estate,23.0,stores,own,1,unskilled - resident,1,none,yes
Not default,no checking account,6,all credits at this bank paid back duly,domestic appliances,1750.0,500 <= ... < 1000 DM,.. >= 7 years,2.0,male,single,none,4,if not A121 : building society savings agreement/ life insurance,90.0,bank,own,1,unskilled - resident,2,none,yes
Default,< 0 DM,24,all credits at this bank paid back duly,domestic appliances,61.38436369492026,... < 100 DM,4 <= ... < 7 years,4.0,male,single,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",24.0,bank,rent,1,unskilled - resident,1,none,yes
Not default,no checking account,48,all credits at this bank paid back duly,business,3609.0,... < 100 DM,1 <= ... < 4 years,1.0,female,divorced,none,1,real estate,-54.0,stores,own,1,skilled employee / official,1,none,yes
Default,< 0 DM,48,all credits at this bank paid back duly,business,7685.0,... < 100 DM,4 <= ... < 7 years,3.3237826595832702,female,divorced,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",37.0,none,rent,1,skilled employee / official,1,none,yes
Default,0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931.0,100 <= ... < 500 DM,... < 1 year,2.2742242494538187,female,divorced,none,1,if not A121 : building society savings agreement/ life insurance,32.0,stores,own,1,unskilled - resident,1,none,yes
Not default,no checking account,48,all credits at this bank paid back duly,business,3609.0,... < 100 DM,1 <= ... < 4 years,-0.1855013996736673,female,divorced,none,1,real estate,27.0,stores,own,1,skilled employee / official,1,none,yes
Default,< 0 DM,18,all credits at this bank paid back duly,car (new),3495.9798229863954,... < 100 DM,4 <= ... < 7 years,4.0,male,single,none,4,unknown / no property,32.0,none,for free,2,unskilled - resident,2,none,yes
Not default,< 0 DM,72,all credits at this bank paid back duly,radio/television,2828.0,500 <= ... < 1000 DM,1 <= ... < 4 years,4.0,male,single,none,4,real estate,22.0,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),-31.940561732534054,100 <= ... < 500 DM,1 <= ... < 4 years,2.0,male,married,none,2,if not A121 : building society savings agreement/ life insurance,25.0,none,rent,1,skilled employee / official,1,none,yes
Not default,0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169.0,unknown/ no savings account,unemployed,4.0,male,single,co-applicant,4,unknown / no property,36.0,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes
Default,0 <= ... < 200 DM,-15,all credits at this bank paid back duly,car (new),6850.0,100 <= ... < 500 DM,unemployed,1.0,male,single,none,2,if not A121 : building society savings agreement/ life insurance,34.0,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes
Default,>= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,business,609.0,... < 100 DM,... < 1 year,4.0,female,divorced,none,1,real estate,26.0,none,own,1,unemployed/ unskilled - non-resident,1,none,yes
